person_number,person_name,address,project_list,url,error
448521894,Professor Dr. Han van der Aa,"Universität Wien
Fakultät für Informatik
Knowledge and Business Engineering Workflow Systems and Technology
Währingerstraße 29
1010 Wien
Österreich",Semantische Prozesserkennung basierend auf Benutzerinteraktionsprotokollen,https://gepris.dfg.de/gepris/person/448521894,
1551608,Professor Dr.-Ing. Til Aach (†),,"Nonlinear analysis of multi-dimensional signals: local adaptive estimation of complex motion and orientation patterns, Mehrfachorientierung und Mehrfach-Steuerbarkeit in der Bildanalyse, Geometrische Kalibration und Kompensation von Multispektralkameras",https://gepris.dfg.de/gepris/person/1551608,
259603769,Professorin Dr. Kjersti Aagaard,"Baylor College of Medicine
One Baylor Plaza
Houston TX 77030
USA",Molekulare Veränderungen des Schilddrüsenhormonstoffwechsels in der humanen Plazenta durch mütterliche Übergewichtigkeit,https://gepris.dfg.de/gepris/person/259603769,
280354398,"David Aagten-Murphy, Ph.D.","Ludwig-Maximilians-Universität München
Department Psychologie
Lehrstuhl für Allgemeine und Experimentelle Psychologie
Leopoldstraße 13
80802 München",Wahrnehmungsstabilität durch prädiktive Aufmerksamkeitsverlagerung,https://gepris.dfg.de/gepris/person/280354398,
1795716,Dr. Maryam Aalamian-Mattheis,"Johns Hopkins Hospital
1800 Orleans Street
Baltimore MD 21287
USA",Evaluierung der Effektivität der Vakzinebehandlung des Prostatakarzinoms in Kombination mit nicht-myeloablativer Knochenmarktransplantation im Tiermodell,https://gepris.dfg.de/gepris/person/1795716,
71615791,Professor Dr. Wil van der Aalst,"Rheinisch-Westfälische Technische Hochschule Aachen
Fachgruppe Informatik
Lehrstuhl für Informatik 9 - Process and Data Science
Ahornstraße 55
52074 Aachen",EXC 2023: Internet of Production (IoP),https://gepris.dfg.de/gepris/person/71615791,
241350988,Privatdozentin Dr. Ghazal Aarabi,"Universitätsklinikum Hamburg-Eppendorf
Zentrum für Zahn-, Mund- und Kieferheilkunde (ZMK)
Poliklinik für Parodontologie, Präventive Zahnmedizin
Martinistraße 52
20251 Hamburg","Identifikation Oraler Mikrobieller Profile der Parodontitis und deren Beziehung zu kardiovaskulären Erkrankungen, Zusammenhang zwischen Parodontitis, Hirnstruktur und kognitiver Hirnfunktion: Eine multimodale Studie mit biologischen und bildgebenden Risikomarkern (PAROMIND), Parodontitis als Risikofaktor für zerebrale Mikroangiopathien und stumme Hirninfarkte",https://gepris.dfg.de/gepris/person/241350988,
359368395,Dr. Erik Aarden,"Universität Wien
Institut für Wissenschafts- und Technikforschung
Universitätsstraße 7
1010 Wien
Österreich",Europas Forschungsinfrastrukturen: Akteure Europäischer Integration,https://gepris.dfg.de/gepris/person/359368395,
162873306,Professor Dr. Jaan Aarik,"University of Tartu
Institute of Physics
Ülikooli 18
50090 Tartu
Estland",Entangled spin pairs in graphene ENTS,https://gepris.dfg.de/gepris/person/162873306,
136847108,Dr. Timo Aarrevaara,"Tampereen yliopisto
Kalevantie 4
33014 Tampere
Finnland",The Academic Profession in Europe: Responses to Societal Challenges,https://gepris.dfg.de/gepris/person/136847108,
260386,Dr. Jac M.M.J.G. Aarts,"Wageningen University
Biological Farming Systems Group
Tuinlaan 5
6700 Wageningen
Niederlande",GRK 738: Molecular Mechanisms in Food Toxicology,https://gepris.dfg.de/gepris/person/260386,
93878196,Professor Dr. Mark G. M. Aarts,"Wageningen University
Department of Plant Sciences
Laboratory of Genetics
Droevendaalsesteeg 1
6708 PB Wageningen
Niederlande",Diffusionsbarrieren in der Pflanzenwurzel: Entstehung und Auswirkung auf Nährstoffhaushalt und Stresstoleranz,https://gepris.dfg.de/gepris/person/93878196,
378189725,"Professorin Annemieke Aartsma-Rus, Ph.D.","Leids Universitair Medisch Centrum
Einthovenweg 20
2333 ZC Leiden
Niederlande",Etablierung einer in vitro Plattform für die Entwicklung von n-von-1 Antisense-Oligonukleotid-Therapien für ultraseltene metabolische Erkrankungen des ZNS,https://gepris.dfg.de/gepris/person/378189725,
1686022,Privatdozent Dr. Gregor Aas,"Universität Bayreuth
Ökologisch-Botanischer Garten
Universitätsstraße 30
95447 Bayreuth",GRK 678: Wirk- und Signalstoffe bei Insekten - von der Struktur zur Funktion im Ökosystem,https://gepris.dfg.de/gepris/person/1686022,
183697900,"Professor Ivar A. Aavatsmark, Ph.D.","University of Bergen
Department of Mathematics
Postfach 7800
5020 Bergen
Norwegen",GRK 1398: Nichtlinearitäten und Upscaling in porösen Medien,https://gepris.dfg.de/gepris/person/183697900,
558154874,Professorin Kristin B. Aavitsland,"Universitetet i Oslo (UiO)
Istituto di Norvegia in Roma
Viale Trenta Aprile 33
00153 Roma
Italien","Das Nachleben des Museumsinterieurs der Moderne. Möbel und Hängevorrichtungen von Kunstwerken im Palazzo Bianco, Genua (1942-heute)",https://gepris.dfg.de/gepris/person/558154874,
210367509,Dr. Abdallah Ababneh,"Yarmouk University
Hajjawi Faculty for Engineering Technology
Electronic Engineering Department
POB 566
Irbid 22110
Jordanien",Mikroresonatoren für Anwendungen in Flüssigkeiten und Gasen,https://gepris.dfg.de/gepris/person/210367509,
167919607,Dr. Mohammad Ibrahim Ababneh,Es liegt keine aktuelle Dienstanschrift vor.,Lebensweise und soziokulturelle Besonderheiten bei den altnordarabischen Nomaden im Licht ihrer epigraphischen Dokumente,https://gepris.dfg.de/gepris/person/167919607,
430223755,Professor Dr. Taher S. Ababneh,"Tafila Technical University
Faculty of Sciences
Department of Chemistry
P.O. Box 179
Tafila 66110
Jordanien",Untersuchung der Immobilisierungswechselwirkung zwischen photoaktiven Cu(I)-Komplexen und polymeren Matrizen mit theoretischen und experimentellen Methoden,https://gepris.dfg.de/gepris/person/430223755,
60495594,Dr. Alvaro J. Abackerli,"Universidade Metodista de Piracicaba (UNIMEP)
Nucleo de Gestao da Qualidade e Metrologia
Rodovia Santa Barbara Iracemapolis km 1
13450000 Santa Bárbara d'Oeste
Brasilien","Innovative Steuerung und Programmierung von Industrierobotern zur Steigerung der Bauteilequalität, Holistic optimisation of sculptured surfaces manufacturing",https://gepris.dfg.de/gepris/person/60495594,
