title,project_number,applicants,field,procedure,funding,url,error
0-X MASH als zeitkontinuierliche Pipeline ADC basierend auf zeitverschachtelten SAR,392004833,Professor Dr.-Ing. Maurits Ortmanns,"Elektronische Halbleiter, Bauelemente und Schaltungen, Integrierte Systeme, Sensorik, Theoretische Elektrotechnik",Sachbeihilfen,Förderung seit 2018,https://gepris.dfg.de/gepris/projekt/392004833,
1001G3_1001 Genome Plus,355701936,"Paul Kersey, Ph.D. ; Professor Dr. Magnus Nordborg ; Professor Detlef Weigel, Ph.D.",Genetik und Genomik der Pflanzen,"Sachbeihilfen Internationaler Bezug Großbritannien, Österreich Partnerorganisation Biotechnology and Biological Sciences Research Council (BBSRC) ; Fonds zur",Förderung von 2018 bis 2022,https://gepris.dfg.de/gepris/projekt/355701936,
100 Lebensgeschichten - eine Geschichte? Die Entwicklung der hessischen Erwachsenenbildung aus der Sicht von Zeitzeugen,5367846,Professor Dr. Dieter Nittel,Bildungssysteme und Bildungsinstitutionen,Sachbeihilfen,Förderung von 2002 bis 2005,https://gepris.dfg.de/gepris/projekt/5367846,
"10² to 10³ year scale variability of the El Niño/Southern Oscillation (ENSO) and the Indian Ocean Dipole (IOD) in the eastern Indian Ocean over the last 30,000 years",136724195,Professor Dr. Dierk Hebbeln,Paläontologie,Sachbeihilfen,Förderung von 2009 bis 2014,https://gepris.dfg.de/gepris/projekt/136724195,
(111)-orientierte CoFe2O4 und NiCo2O4 ultradünne Filme mit einstellbaren elektronischen und magnetischen Eigenschaften,392675618,Dr. Karsten Küpper,"Experimentelle Physik der kondensierten Materie Physikalische Chemie von Festkörpern und Oberflächen, Materialcharakterisierung",Sachbeihilfen,Förderung von 2017 bis 2024,https://gepris.dfg.de/gepris/projekt/392675618,
1+1=3. Die Entstehung der sowjetischen Wissenschaften in den 1920er und -30er Jahren unter den Bedingungen moderner Massenkommunikation,5450337,Professor Dr. Jurij Murasov,Europäische und Amerikanische Literatur- und Kulturwissenschaften,Sachbeihilfen,Förderung von 2005 bis 2007,https://gepris.dfg.de/gepris/projekt/5450337,
11beta-Hydroxysteroid-Dehydrogenase 1: Funktion im Metabolismus von Steroiden und toxischen Fremdstoffen,5077570,Professor Dr. Edmund Maser,Pharmakologie,Sachbeihilfen,Förderung von 1997 bis 2006,https://gepris.dfg.de/gepris/projekt/5077570,
"1,1-Carboborierung von Alkinen - Entwicklung einer ungewöhnlichen Reaktion",183729294,Professor Dr. Gerhard Erker,"Organische Molekülchemie - Synthese, Charakterisierung",Sachbeihilfen,Förderung von 2010 bis 2018,https://gepris.dfg.de/gepris/projekt/183729294,
"1,1-Organoborierung funktionell-substituierter 1-Alkinylsilicium-, -germanium- und -zinn-Verbindungen",5097562,Professor Dr. Bernd Wrackmeyer (†),"Anorganische Molekülchemie - Synthese, Charakterisierung",Sachbeihilfen,Förderung von 1998 bis 2005,https://gepris.dfg.de/gepris/projekt/5097562,
"1,2-Di(2-pyridyl)-1,2-diamidoethan-Komplexe: Bindungsaktivierung zur selektiven Steuerung von Reaktionen",60515828,Professor Dr. Matthias Westerhausen,"Anorganische Molekülchemie - Synthese, Charakterisierung",Sachbeihilfen,Förderung von 2008 bis 2011,https://gepris.dfg.de/gepris/projekt/60515828,
"1,2-Dichalkogenolato-1,2-dicarba-closo-dodecaboran-Anionen in der Chemie von Hauptgruppenelementen",106542411,Professor Dr. Bernd Wrackmeyer (†),"Anorganische Molekülchemie - Synthese, Charakterisierung",Sachbeihilfen,Förderung von 2009 bis 2014,https://gepris.dfg.de/gepris/projekt/106542411,
12(S)-HpETE/TRPV1 Interaktion vermittelt Hyperglykaemie-induzierte endotheliale Dysfunktion: Neue Ansaetze zur frühen Diagnose und Therapie vaskulaerer Erkrankungen bei Diabetes Mellitus,390645560,in Professorin Dr. Nana-Maria Wagner,Anästhesiologie,Sachbeihilfen,Förderung von 2018 bis 2023,https://gepris.dfg.de/gepris/projekt/390645560,
1300 Jahre Klimavariabilität für den nordöstlichen Mittelmeerraum anhand mehrerer Jahrringproxies von uralten Pinus heldreichii Bäumen am Mt. Smolikas (Nordgriechenland),428565501,Professor Dr. Jan Esper ; Professor Dr. Frank Keppler,Physische Geographie,Sachbeihilfen,Förderung von 2020 bis 2025,https://gepris.dfg.de/gepris/projekt/428565501,
"(1-3)-beta-D-Glukan-gesteuerte, vorzeitige Beendigung einer antimykotischen Therapie bei Patienten auf Intensivstationen",400727961,Privatdozent Dr. Jürgen Held,Klinische Infektiologie und Tropenmedizin Parasitologie und Biologie der Erreger tropischer Infektionskrankheiten,Sachbeihilfen Mitverantwortliche Dr. Ixchel Castellanos ; Privatdozent Dr. Richard Strauß ; Professor Dr. Carsten Willam,Förderung von 2018 bis 2021,https://gepris.dfg.de/gepris/projekt/400727961,
"1,3-Diborolyl- und 4-Borataborepin-Metallkomplexe",5431937,Professor Dr. Walter Siebert,"Anorganische Molekülchemie - Synthese, Charakterisierung",Sachbeihilfen,Förderung von 2004 bis 2009,https://gepris.dfg.de/gepris/projekt/5431937,
"1,4,5,8-Tetraazafulvalene - eine neue Klasse funktioneller Farbstoffe",5200020,Professor Dr. Rainer Beckert,"Organische Molekülchemie - Synthese, Charakterisierung",Sachbeihilfen,Förderung von 1999 bis 2002,https://gepris.dfg.de/gepris/projekt/5200020,
14C-AMS-Datierungen zur Rekonstruktion der Waldentwicklung und Nutzungsgeschichte im Naturschutzgebiet Eldena bei Greifswald in den letzten 2000 Jahren,5432002,Professor Dr. Hans Joosten,Paläontologie,Sachbeihilfen,Förderung von 2004 bis 2005,https://gepris.dfg.de/gepris/projekt/5432002,
15/16-Element-Käfige als Bausteine in anorganischen und gemischten Koordinationspolymeren,60331071,Dr. Joachim Wachter,"Anorganische Molekülchemie - Synthese, Charakterisierung",Sachbeihilfen,Förderung von 2007 bis 2011,https://gepris.dfg.de/gepris/projekt/60331071,
15/16-Elementligand-Komplexe als Bausteine in der Supramolekularen Chemie,34242216,Dr. Joachim Wachter,"Anorganische Molekülchemie - Synthese, Charakterisierung",Sachbeihilfen,Förderung von 2007 bis 2011,https://gepris.dfg.de/gepris/projekt/34242216,
17.6 T-Labormagnet für höchstaufgelöste NMR-Bildgebung mit Anwendungen in den Naturwissenschaften und der Medizin,5237386,Professor Dr. Peter M. Jakob,Analytische Chemie,Sachbeihilfen Ehemaliger Antragsteller Professor Dr. Axel Haase,Förderung von 2000 bis 2006,https://gepris.dfg.de/gepris/projekt/5237386,
17beta-Hydroxysteroid Dehydrogenase Typ 14: Enzymstruktur-basierte Entwicklung von potenten und selektiven Inhibitoren mit Hilfe von Kristallisation und Enzymcharakterisierung,233241443,innen / Antragsteller Professor Dr. Gerhard Klebe ; Dr. Sandrine Marchais-Oberwinkler,Pharmazie,Sachbeihilfen,Förderung von 2013 bis 2017,https://gepris.dfg.de/gepris/projekt/233241443,
17O von Bioapatite als Paläo-CO2-Barometer,389544065,Professor Dr. Andreas Pack,"Paläontologie Mineralogie, Petrologie und Geochemie",Sachbeihilfen Kooperationspartner Dr. Alexander Gehler ; Professor Dr. Thomas Tütken,Förderung von 2017 bis 2021,https://gepris.dfg.de/gepris/projekt/389544065,
18F-Markierung von Octreotat-Derivaten mithilfe von Organosilanan: Evaluierung einer neuen Strategie zur vereinfachten Radiosynthese peptidischer PET-Diagnostika,161901132,Professor Dr. Björn Wängler,Pharmazie,Sachbeihilfen,Förderung von 2010 bis 2014,https://gepris.dfg.de/gepris/projekt/161901132,
18O-Zusammensetzung von Phenocrysten in Vulkaniten analysiert durch Laser-Evaporation,5309046,Professor Dr. Jochen Hoefs,"Mineralogie, Petrologie und Geochemie",Sachbeihilfen,Förderung von 1996 bis 2001,https://gepris.dfg.de/gepris/projekt/5309046,
"1. Alter der extremen turnoff-Feldsterne, 2. Die Hauptreihe des offenen Sternhaufens Melotte 111",5211760,Professor Dr. Thomas Gehren (†),Astrophysik und Astronomie,Sachbeihilfen,Förderung von 1999 bis 2000,https://gepris.dfg.de/gepris/projekt/5211760,
1. Archäologie der Oasenstadt Tayma: Kontinuität und Wandel der Lebensformen im ariden Nordwesten der Arabischen Halbinsel vom Neolithikum bis zur Islamisierung. 2. Wasserwirtschaftliche Anlagen in der historischen Oasenstadt Tayma.,63608405,Professor Dr. Ricardo Eichmann ; Professor Dr.-Ing. Matthias Grottker,Ägyptische und Vorderasiatische Altertumswissenschaften,Sachbeihilfen,Förderung von 2008 bis 2020,https://gepris.dfg.de/gepris/projekt/63608405,
1-Bit 3-Dimensionale Bildgebung,514479946,Professor Dr. Bhaskar Choubey ; Privatdozent Dr.-Ing. Miguel Heredia Conde,"Elektronische Halbleiter, Bauelemente und Schaltungen, Integrierte Systeme, Sensorik, Theoretische Elektrotechnik Bild- und Sprachverarbeitung, Computergraphik und Visualisierung, Human Computer Interaction, Ubiquitous und Wearable Computing",Sachbeihilfen,Förderung seit 2023,https://gepris.dfg.de/gepris/projekt/514479946,
"1.Diffusion in heißen Weißen Zwergen, 2. Nicht-radiale Pulsationen in sdB Sternen, 3. Coordinated observation of the DBV GD358",5282882,Professor Dr. Klaus Werner,Astrophysik und Astronomie,Sachbeihilfen,Förderung von 2000 bis 2001,https://gepris.dfg.de/gepris/projekt/5282882,
1-D Multi-Gate FETs: Einstellen der Potentiallandschaft auf der Nanometerskala,266030637,Professor Dr. Joachim Knoch,"Elektronische Halbleiter, Bauelemente und Schaltungen, Integrierte Systeme, Sensorik, Theoretische Elektrotechnik",Sachbeihilfen,Förderung von 2015 bis 2017,https://gepris.dfg.de/gepris/projekt/266030637,
1-D periodisch plasmonische Dirac-Fermionsysteme mit Fokus auf helizitätsabhängigen fotovoltaische Effekte,448955585,Professor Dr. Sergey Ganichev,Experimentelle Physik der kondensierten Materie,"Sachbeihilfen Internationaler Bezug Russische Föderation Partnerorganisation Russian Foundation for Basic Research , bis 3/2022 Mitverantwortlich Professor Dr. Dieter Weiss Kooperationspartner Professor Dr. Vasily V. Belkov , bis 3/2022",Förderung seit 2021,https://gepris.dfg.de/gepris/projekt/448955585,
1. Erforschung sowie Simulation und Modellierung der mineral-chemischen und physikalischen Prozesse der TRM und CRM. 2. Umweltgeophysik/Umweltmagnetismus zur Überwachung der Umwelt und zum direkten Nachweis von Kontaminationen,5368995,Privatdozent Dr. Viktor Hoffmann,Physik des Erdkörpers,Sachbeihilfen,Förderung von 1997 bis 2001,https://gepris.dfg.de/gepris/projekt/5368995,
1. Ergänzende Aufnahme von Daten zur vergleichenden Untersuchung von Gerüchen und ihren Beziehungen zu anderen Sinneswahrnehmungen 2. Untersuchung interethnischer Ehen bei den Wampar in Papua-Neuguinea,5409915,in Professorin Dr. Bettina Beer,Ethnologie und Europäische Ethnologie,Sachbeihilfen,Förderung von 2003 bis 2004,https://gepris.dfg.de/gepris/projekt/5409915,
"1. Geostatistische Klassifikation, Funktionen höherer Ordnung und neuronale Netze; 2. Modellierung und Analyse von Gletscherspalten als Indikatoren dynamischer Prozesse schnellfließenden Eises: Einsatz geostatistischer, strukturglaziologischer und kontinuumsmechanischer Methoden",5372301,in Professorin Dr. Ute Christina Herzfeld,"Hydrogeologie, Hydrologie, Limnologie, Siedlungswasserwirtschaft, Wasserchemie, Integrierte Wasserressourcen-Bewirtschaftung",Sachbeihilfen,Förderung von 2002 bis 2004,https://gepris.dfg.de/gepris/projekt/5372301,
"1. Holocaust und `Polykratie` in Westeuropa, 1940-1944 2. Kulturelle Ressourcen institutioneller Integration 3. Strategiefähigkeit im Regulierungswettbewerb",5315134,Professor Dr. Wolfgang Seibel,Politikwissenschaft,Sachbeihilfen,Förderung von 2001 bis 2004,https://gepris.dfg.de/gepris/projekt/5315134,
1. Marktfähigkeit von Bankkrediten: Theorie und Empirie 2. The Reinsurance Industry and the Competition from Capital Markets,5337442,Professor Dr. Jan Pieter Krahnen,Accounting und Finance,Sachbeihilfen,Förderung von 2001 bis 2002,https://gepris.dfg.de/gepris/projekt/5337442,
"1-Metallacyclobuta-2,3-diene - von Laborkuriositäten zu modularen Katalysatoren für die Synthese cyclischer Polymere",452714985,Professor Dr. Torsten Beweries,"Anorganische Molekülchemie - Synthese, Charakterisierung",Sachbeihilfen Internationaler Bezug USA Kooperationspartner Professor Daniel J. Mindiola,Förderung seit 2020,https://gepris.dfg.de/gepris/projekt/452714985,
"1. Mondbedeckungen stellarer Quellen im nahen Infrarot, 2. Untersuchungen zur Verringerung des Speckle-Rauschens bei Adaptiver Optik",5215024,Dr. Bringfried Stecklum,Astrophysik und Astronomie,Sachbeihilfen,Förderung von 1999 bis 2000,https://gepris.dfg.de/gepris/projekt/5215024,
1P2P_EnT - Effiziente Einphotonen(1P)- und neuartige Zweiphotonen(2P)-Mechanismen in der lichtgetriebenen Energietransfer(EnT)-Katalyse,516556094,Professor Dr. Christoph Kerzig,"Physikalische Chemie von Molekülen, Flüssigkeiten und Grenzflächen, Biophysikalische Chemie",Sachbeihilfen,Förderung seit 2022,https://gepris.dfg.de/gepris/projekt/516556094,
"1. Philosophisches Symposium der DFG zum Thema: Potentialität (Villa Vigoni, 18.-22.3.2019)",428444811,Professor Dr. Christof Karl Rapp,Theoretische Philosophie Geschichte der Philosophie Praktische Philosophie,Sachbeihilfen Mitverantwortlich(e) Professorin Dr. Barbara Vetter,Förderung von 2019 bis 2020,https://gepris.dfg.de/gepris/projekt/428444811,
"1. ""Role of dendritic cells in induction or prevention of colitogenic CD4 T cell responses"" and 2. ""Priming tolerogenic and colitogenic CD4 T cells in the murine gut""",5435872,innen / Antragsteller Professorin Dr. Julia-Stefanie Frick ; Professor Dr. Jan-Hendrik Niess,Immunologie,Sachbeihilfen,Förderung von 2004 bis 2013,https://gepris.dfg.de/gepris/projekt/5435872,
"1. The nature of 2MASS ""red AGN""; 2. Ionised gas in quasar host galaxies: the integral field view",5412149,Professor Dr. Lutz Wisotzki,Astrophysik und Astronomie,Sachbeihilfen,Förderung von 2003 bis 2004,https://gepris.dfg.de/gepris/projekt/5412149,
1. Untersuchung der Oberflächemorphologie und Hydrologie der Schneedecke 2. Mathematische Beiträge zur theoretischen Glaziologie (schnellfließendes Eises),5244070,in Professorin Dr. Ute Christina Herzfeld,"Atmosphären-, Meeres- und Klimaforschung",Sachbeihilfen,Förderung von 1999 bis 2001,https://gepris.dfg.de/gepris/projekt/5244070,
1. Wandlungen des IPR und Harmonisierung des internationalen Verfahrensrecht in Europa 2. Schadensrechtsreform und Umwelthaftungsrecht - Einflüsse deutschen und europäischen Rechts außerhalb Europas,5400673,Professor Dr. Gerhard Hohloch,Privatrecht,Sachbeihilfen,Förderung von 2003 bis 2005,https://gepris.dfg.de/gepris/projekt/5400673,
"1) Wechselwirkung zwischen fluiddynamischen Strömungen in der Erde, anisotroper Rheologie und anisotropen seismologischen Eigenschaften 2) Hydrothermale Effekte bei Krustenproduktion an Riftzonen",70427737,Professor Dr. Harro Schmeling,Physik des Erdkörpers,Sachbeihilfen,Förderung von 2008 bis 2009,https://gepris.dfg.de/gepris/projekt/70427737,
1. Werkmonographie zu dem Tschechen Jiri Mordechaj Langer; 2. Monographie zur sorbischen Gegenwartsliteratur (zusammen mit Dr. Ch. Prunitsch); 3. Das russische Drama des 20. Jahrhunderts,5421206,Professor Dr. Walter Koschmal,Europäische und Amerikanische Literatur- und Kulturwissenschaften,Sachbeihilfen,Förderung von 2004 bis 2006,https://gepris.dfg.de/gepris/projekt/5421206,
2010/AFGN Collaborative Project: An exemplary calcium signaling network in plant abiotic stress responses,49803633,Professor Dr. Jörg Kudla,Zell- und Entwicklungsbiologie der Pflanzen,Sachbeihilfen Internationaler Bezug USA,Förderung von 2007 bis 2014,https://gepris.dfg.de/gepris/projekt/49803633,
2010/AFGN Collaborative Project: The Interaction Network for the Heterotrimeric G-Protein Signaling Pathway,49640339,Professor Dr. Ralph Panstruga ; Privatdozent Dr. Joachim Uhrig,Zell- und Entwicklungsbiologie der Pflanzen,Sachbeihilfen Internationaler Bezug USA,Förderung von 2007 bis 2015,https://gepris.dfg.de/gepris/projekt/49640339,
20S Proteasom-Isotypen in Säugetieren: Von der Struktur und Funktion zur selektiven Hemmung,256398100,Professor Dr. Michael Groll,Strukturbiologie,Sachbeihilfen,Förderung von 2014 bis 2023,https://gepris.dfg.de/gepris/projekt/256398100,
"20th- and 21th-century climate changes in western China simulated with a hierarchy of global and regional climate models, including improved scenarios of human activity and reliable observational data for validation",100434939,"innen / Antragsteller Professor Dr. Heiko Paeth ; Dr. Xiuhua Zhu , seit 10/2012",Physische Geographie,Sachbeihilfen Internationaler Bezug China,Förderung von 2010 bis 2016,https://gepris.dfg.de/gepris/projekt/100434939,
2/1-3/2-Umwandlung von Mullit: Mechanismen und Kinetik,5236206,Professor Dr. Hartmut Schneider,"Metallurgische, thermische und thermomechanische Behandlung von Werkstoffen",Sachbeihilfen,Förderung von 2000 bis 2007,https://gepris.dfg.de/gepris/projekt/5236206,
2/1-3/2-Umwandlung von Mullit: Mechanismen und Kinetik,5236218,Professor Dr.-Ing. Günter Borchardt,"Metallurgische, thermische und thermomechanische Behandlung von Werkstoffen",Sachbeihilfen,Förderung von 2000 bis 2007,https://gepris.dfg.de/gepris/projekt/5236218,
"21-Hydroxpregnan-21-O-Malonyltransferasen: Heterologe Expression in Escherichia coli und Saccharomyces cerevisiae, Charakterisierung und Bedeutung für die Cardenolid-Biosynthese",427204405,Professor Dr. Wolfgang Kreis,Pflanzenphysiologie,Sachbeihilfen Mitverantwortlich(e) Dr. Jennifer Munkert,Förderung von 2019 bis 2021,https://gepris.dfg.de/gepris/projekt/427204405,
"2,3-Bisphosphoglycerat Mutase, ein renoprotektiver Faktor",538820275,"Professor Dr. Michael Fähling , seit 7/2024",Anatomie und Physiologie,"Sachbeihilfen Ehemaliger Antragsteller Professor Dr. Christian Rosenberger , bis 6/2024",Förderung seit 2024,https://gepris.dfg.de/gepris/projekt/538820275,
26 Al-Tracerdiffusion in alpha-Aluminiumoxid,22463399,Professor Dr.-Ing. Günter Borchardt,Thermodynamik und Kinetik sowie Eigenschaften der Phasen und Gefüge von Werkstoffen,Sachbeihilfen,Förderung von 2006 bis 2012,https://gepris.dfg.de/gepris/projekt/22463399,
